z[um],ACR,ACR fit,tau_diff,dtau_diff,tau_diff fit,N,dN,N fit
2079.66,3776.63878608033,5954.28914968742,0.0583402799256603,0.0145480544642088,0.01484013333249621,26.859761124494025,1.8542083914121903,12.095429215411594
2079.91,5338.30822099466,6628.956554815719,0.0207896239880117,0.002658122041093,0.010384235502873745,17.64685851565997,0.6102141207131595,8.463656132127644
2080.16,8156.16369963849,7820.49962119359,0.0119046033931372,0.0006009824662909,0.006826619532607997,9.586741220064653,0.1367241703015283,5.5640263794932645
2080.41,11950.7575229795,10112.271643051467,0.0050465110217374,0.0002852962270909,0.004167285421698967,5.496437152858926,0.0719796212519654,3.3965399575084563
2080.66,17358.6020830323,14691.638639679011,0.0021508596344797,6.22809315197526e-05,0.002406233170146655,2.348696930649821,0.0145384348475439,1.9611968661732195
2080.91,22709.695796247,21366.659651668535,0.0014293907855238,2.410779139758573e-05,0.0015434627779510608,1.1715125206280397,0.0050719613861289,1.2579971054875538
2081.16,19456.650129711,20925.269693132257,0.0019157167764687,2.7190774998524013e-05,0.0015789742451121848,1.3512760034595312,0.0054891667012165,1.2869406754514592
2081.41,12644.5056057308,14215.125916374382,0.0025852601193311,6.961044818346618e-05,0.002512767571630027,2.0237058686254925,0.0124551781841823,2.048027576064936
2081.66,8167.77778529646,9867.299858727369,0.0026768583524041,0.0001288672734389,0.0043448427575045875,2.463295229525132,0.0295659925011346,3.5412578073279835
2081.91,5955.3198709173,7697.083675977034,0.0034946231798858,0.0001525795546477,0.007075199802735865,2.9812458833567845,0.0328537848868565,5.766631369240602
2082.16,3866.03355717128,6561.4820942922,0.0068479207763182,0.0005671129544515,0.010703838707323861,5.252673528150634,0.1183670326705002,8.724148261802792
2082.41,2421.31237290623,5914.234291223662,0.0146516322598256,0.0019371319138923,0.015230759471268576,11.152493413410212,0.3935466343254123,12.413808485014556
